,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
117,BNYB106,Impark-47 Richmond St E (dedicated spaces only),2017-10-17 08:35:00,43.65218,-79.37617,2017-10-17 10:49:00,BNYB106,"7-9 Thorburn Ave, Toronto, ON M6K 1C4",2017-10-17 11:04:00,43.63549,-79.42655,2017-10-17 17:28:00
118,BNYB106,"7-9 Thorburn Ave, Toronto, ON M6K 1C4",2017-10-17 11:04:00,43.63549,-79.42655,2017-10-17 17:28:00,BNYB106,"17 Lower Sherbourne St, Toronto, ON M5A 4J4",2017-10-17 18:03:00,43.64988,-79.36751,2017-10-17 18:18:00
119,BNYB106,"17 Lower Sherbourne St, Toronto, ON M5A 4J4",2017-10-17 18:03:00,43.64988,-79.36751,2017-10-17 18:18:00,BNYB106,"146 Golfview Ave, Toronto, ON M4E 2K5",2017-10-17 18:54:00,43.68058,-79.30833,2017-10-17 23:57:00
121,BNYB107,"1830 Queen St E, Toronto, ON M4L 1G9",2017-10-17 00:00:00,43.66828,-79.30865,2017-10-17 07:14:00,BNYB107,"8 Kent Rd, Toronto, ON M4L 2X6",2017-10-17 07:34:00,43.66599,-79.32027,2017-10-17 07:50:00
122,BNYB107,"8 Kent Rd, Toronto, ON M4L 2X6",2017-10-17 07:34:00,43.66599,-79.32027,2017-10-17 07:50:00,BNYB107,Impark-47 Richmond St E (dedicated spaces only),2017-10-17 08:30:00,43.65218,-79.37617,2017-10-17 09:53:00
123,BNYB107,Impark-47 Richmond St E (dedicated spaces only),2017-10-17 08:30:00,43.65218,-79.37617,2017-10-17 09:53:00,BNYB107,"25 Brick Ct, Toronto, ON M4L 3X7",2017-10-17 10:34:00,43.6629,-79.32895,2017-10-17 12:11:00
124,BNYB107,"25 Brick Ct, Toronto, ON M4L 3X7",2017-10-17 10:34:00,43.6629,-79.32895,2017-10-17 12:11:00,BNYB107,Unit Park-73 The Esplanade(surface lot),2017-10-17 13:11:00,43.64703,-79.3733,2017-10-17 17:33:00
125,BNYB107,Unit Park-73 The Esplanade(surface lot),2017-10-17 13:11:00,43.64703,-79.3733,2017-10-17 17:33:00,BNYB107,"169 Lee Ave, Toronto, ON M4E 2P2",2017-10-17 18:28:00,43.67307,-79.29904,2017-10-17 22:06:00
126,BNYB107,"169 Lee Ave, Toronto, ON M4E 2P2",2017-10-17 18:28:00,43.67307,-79.29904,2017-10-17 22:06:00,BNYB107,"1763 Queen St E, Toronto, ON M4L 3Y4",2017-10-17 22:16:00,43.66785,-79.30977,2017-10-17 23:57:00
128,BNYB108,TargetPark-88 Isabella St (no double parking),2017-10-17 00:00:00,43.66878,-79.38136,2017-10-17 07:55:00,BNYB108,Green P-25 Dundas St E(no double parking),2017-10-17 08:10:00,43.656,-79.37993,2017-10-17 12:26:00
